tweetID	tweetText
558144729096142848	@th200k11y13 الشعب و الحكومة شيء واحد في اليابان
558144779112837121	تعليق حول وجهة نظر المسلمين الموجودين ف اليابان حول قضية المختطفين اليابانيين الله يرجعهم بالسلامة إن شاء الله http://t.co/JbDnvKpbRe
558145278423728128	هكذا كانت خدمة التاكسي في اليابان 😢 http://t.co/rnJCldhlqT
558145295515938816	طوكيو تحت الضغط قبل أقل من 30 ساعة لنهاية انذار الدولة الاسلامية http://t.co/egxAj4V0VC #SahelNews
558150079962292226	طوكيو تحت الضغط قبل أقل من 30 ساعة لنهاية انذار الدولة الاسلامية http://t.co/ZgYtXjUDse
558150208207331329	باريس توجه الدعوة للعشائر السنية في الانبار لزيارتها لبحث وسائل قتال الدولة الاسلامية http://t.co/JVGwoZKrG7
558150673712562176	تسريب صوتي يكشف تنسيقا بين الرئيس اليمني المخلوع و جماعة الحوثي http://t.co/Q7hartkPxw
558150694771777536	الخبر/باريس توجه الدعوة للعشائر السنية في الانبار لزيارتها لبحث وسائل قتال الدولة الاسلامية
558151016336478208	الخبر/طوكيو تترقب قبل أقل من 30 ساعة لنهاية انذار الدولة الاسلامية
558151762071535616	التعاون الخليجي يدعم الرئيس اليمني ويندد بالانقلاب على الشرعية http://t.co/eO2qDCVxZY
558151937632129024	باريس توجه الدعوة للعشائر السنية في الانبار لزيارتها لبحث وسائل قتال الدولة الاسلامية http://t.co/GqLGNKmqAj
558152022499663872	@raid_bc ناادواا اليابان بالله اما احنا مااتجي منااا
558152165097603074	وزير خارجية اليابان يدير غرفة عمليات في الأردن لإنقاذ الرهينتين لدى تنظيم الدولة الاسلامية: عمان- الأناضول: قا... http://t.co/IM9ASOM4wj
558152890221858817	Video احد قادة الدولة الاسلامية يثبت جنوده: http://t.co/BeU5B4yugM via @YouTube
558154842447699969	@samehhanafym ما يروحوا يعيشوا فى الدولة الاسلامية طالما بيحبوها اوى كده
558154988220727297	طوكيوتحت الضغط قبل اقل من 30 ساعة لنهاية انذار الدولة الاسلامية http://t.co/3Yw4VwbDbV
558155902126026752	#اكرم_الجولحي واشنطن تبدي إنزعاجها من الإتفاق بين الرئيس اليمني وأنصار الله: توصل الرئيس اليمن... http://t.co/p7NKN55Kb9 @akramalgaolahi
558157279522865153	@ralzaabi ان شاء الله ما نسمع فيه بعد مباراة اليابان
558157669576355841	رسالة من اليابان حول عملية التهديد بقتل الرهينتين اليابانيين http://t.co/JwvFfVPea6
558157883586539520	@_iMotlaq كل ماتذكرت انا بنقابل اليابان تعبت نفسيتي 😟
558158034069778435	@yuuki_m14 أنا أقوى في اليابان
558158238550482945	#اليمن: اتفاق بين الرئيس اليمني والحوثيين للخروج من الازمة: http://t.co/nIPgKkU86w #الحوثيون #Yemen http://t.co/z1GMWes9p7
558158929956311040	الحوثيون مستمرون في مواقعهم خارج قصر الرئاسة ومقر الرئيس اليمني
