qid	Q0	docno	label	document	query
E13	Q0	552276956935622657	1	قتيلان في قصف طائرة ليبية ناقلة نفط قبالة سواحل درنة: بنغازي - (أ ف ب): أعلنت السلطات الليبية التي تعترف بها ا... http://t.co/6RVk38WaRT	قصف ناقلة نفط يونانية في ليبيا
E13	Q0	552096664119685121	1	"السلطات الليبية المعترف بها تؤكد قصف ناقلة نفط ""مشبوهة"" قبالة سواحل درنة بنغازي (ليبيا) (أ ف ب) - أعلنت... http://t.co/cqXQ6vdGjO"	قصف ناقلة نفط يونانية في ليبيا
E13	Q0	552034264527941632	1	“@AlHadath: #ليبيا — طائرة عسكرية مجهولة تقصف ناقلة نفط يونانية في ميناء ليبي” من عنده معلومة 😕	قصف ناقلة نفط يونانية في ليبيا
E13	Q0	552086794117070848	1	قوات حفتر تعلن قصفها السفينة اليونانية في سواحل درنة http://t.co/U0sAEeh6Fk	قصف ناقلة نفط يونانية في ليبيا
E13	Q0	552388259721252867	1	مؤسسة النفط: قصف الناقلات قد يعرقل إمدادات المحروقات الرائد - المؤسسة الوطنية للنفط عبرت المؤسسة الوطنية للنفط... http://t.co/B2nzTzeh0T	قصف ناقلة نفط يونانية في ليبيا
E13	Q0	552176951688167424	1	مقتل يوناني في قصف ناقلة وقود بدرنة الليبية لقى شخص يوناني الجنسية مصرعه وأصيب اثنان من العمال الفلبينيين جراء... http://t.co/pFZyMJht1G	قصف ناقلة نفط يونانية في ليبيا
E13	Q0	552067142397341696	1	مقتل بحارين بغارة مقاتلة مجهولة على ناقلة نفط في ميناء ليبي .	قصف ناقلة نفط يونانية في ليبيا
E13	Q0	552153211554250754	1	هذه صورة الشاب اليوناني الذي كان يقود الباخرة المحملة بالوقود إلي مدينة درنة المجاهدة ، وعندما رفض الاصغاء لي... http://t.co/dWcT3bNz6r	قصف ناقلة نفط يونانية في ليبيا
E13	Q0	552031593125388288	1	طائرة عسكرية مجهولة تقصف ناقلة نفط يونانية في ميناء ليبي http://t.co/n3SjPH1L8o	قصف ناقلة نفط يونانية في ليبيا
E13	Q0	552059791309144064	1	#اخبار قتيلان بقصف ناقلة نفط في ميناء درنة: قال خفر السواحل اليوناني، الاثنين، إن اثنين من أفراد طاقم ناقلة نف... http://t.co/bXDlzzBJ2N	قصف ناقلة نفط يونانية في ليبيا
E13	Q0	552048710805626880	0	# نهر | الكويت | توقيف 50 شابا وفتاة بحالك تعاطي وسكر في شقق مشبوهة خلال احتفالات رأس السنة.	قصف ناقلة نفط يونانية في ليبيا
E13	Q0	551680940377133056	0	"بتهم إبرام صفقات مشبوهة في مشروع حفر قنوات الغاز على الحدود الليبية الجزائرية مدير مجمع ""سوناطراك"" السابق محمد... http://t.co/WA1JE93EVT"	قصف ناقلة نفط يونانية في ليبيا
E13	Q0	551318330829979648	0	#عاجل :: إصابة جنديين في انفجار عبوة ناسفة استهدفت ناقلة مياه تابعة للجيش في مدينة سيئون جنوبي #اليمن (مصدر طبي)	قصف ناقلة نفط يونانية في ليبيا
E13	Q0	552817375834173440	0	@bayan_nabeel @cohiba_senior والله السيولة مشبوهة تخوف ممكن تكون تغطية شورت 😉	قصف ناقلة نفط يونانية في ليبيا
E13	Q0	551646369350291456	0	#فيديو 🔴 إنقلاب ناقلة وقود في الدائري الجنوبي بـ #الرياض و #الدفاع_المدني يقوم بأعمال التطهير للموقع وإنهاء الحادث http://t.co/2X8cpq7mMx	قصف ناقلة نفط يونانية في ليبيا
E13	Q0	552133296696872960	0	تصريحات ليون لإذاعة أسبانيا اليوم : لا يوجد داعش في ليبيا لو توجد تنظيمات متطرفة سوى البعض منها في مدينة درنة فقط... http://t.co/rYwO67qzzL	قصف ناقلة نفط يونانية في ليبيا
E13	Q0	552133221035823104	0	تصريحات ليون لإذاعة أسبانيا اليوم : لا يوجد داعش في ليبيا لو توجد تنظيمات متطرفة سوى البعض منها في مدينة درنة فقط... http://t.co/0N5Rzjdbl8	قصف ناقلة نفط يونانية في ليبيا
E13	Q0	551798461688197120	0	اغلاق شارع معالي ادميم باتجاه حاجز الزعيم هو نتيجة مطاردة سيارة مشبوهة	قصف ناقلة نفط يونانية في ليبيا
E13	Q0	551505863303630849	0	ناقلة لكل حدث هلالي واستضافة لنجوم ولاعبين واداريين خدموا الهلال وتواجدوا فيه وناقلة لمباريات واستعدادات النادي بكل درجاته هي فرصة [4/6]	قصف ناقلة نفط يونانية في ليبيا
E13	Q0	551712718399340544	0	"#عاجل ""مدني الرياض"" يباشر حريق ناقلة وقود بجسر الفريان http://t.co/TG9FBSLjXj #السعودية"	قصف ناقلة نفط يونانية في ليبيا
E05	Q0	551644837967978496	1	"عقوبات مالية أمريكية على بيونغ يانغ ردا على قرصنة ""سوني"" - روسيا اليوم http://t.co/B4C8yckYk5"	اختراق كوريا الشمالية حسابات سوني
E05	Q0	550196933709824000	1	التويته: http://t.co/pu1eO9Urzb — «التحقيقات في قضية اختراق شركة سوني تشير إلى تعاون موظفين سابقين ساخطين على الشركة مع كوريا الشمالية...	اختراق كوريا الشمالية حسابات سوني
E05	Q0	550101706483068930	1	@YazeedVx بس ياخي سالفة تهكير سوني الأخيرة عن الفلم اللي يتكلم عن كوريا مادخلت راسي احسها لعبة محبوكة من سوني لرفع أسهم الفلم وهذا اللي صار	اختراق كوريا الشمالية حسابات سوني
E05	Q0	551124541117067265	1	"أوباما يجيز عقوبات إضافية على كوريا الشمالية بشان الهجوم على "" سونى"""	اختراق كوريا الشمالية حسابات سوني
E05	Q0	551098850854072321	1	"واشنطن تفرض عقوبات على #كوريا_الشمالية بعد قرصنة “سوني"" http://t.co/hJ2o0xGoUO #CyberAman.com"	اختراق كوريا الشمالية حسابات سوني
E05	Q0	551352058428014592	1	واشنطن تفرض أولى العقوبات على كوريا الشمالية بعد اتهامها بتنفيذ عملية القرصنة الالكترونية التى تعرضت لها سوني http://t.co/laObSQ0Zdj	اختراق كوريا الشمالية حسابات سوني
E05	Q0	551403805653630977	1	واشنطن تفرض أولى العقوبات على #كوريا_الشمالية بعد قرصنة #سوني. #العرب #أمريكا http://t.co/6qZInnPBQr	اختراق كوريا الشمالية حسابات سوني
E05	Q0	551092534190276610	1	#عاجل الرئيس باراك أوباما يقر مزيدا من العقوبات على كوريا الشمالية على خلفية قرصنة استديوهات سوني	اختراق كوريا الشمالية حسابات سوني
E05	Q0	551264966393614336	1	بعد قرصنة سوني.. أمريكا تفرض عقوبات اقتصادية على كوريا الشما ↓ بالتفصيل ↓ http://t.co/yXl5eFeZuU http://t.co/5nWEYLpoGx	اختراق كوريا الشمالية حسابات سوني
E05	Q0	551335586414350336	1	امريكا تفرض عقوبات اضافية على كوريا الشمالية: فرضت الولايات الامريكية المتحدة امس عقوبات اضافية على كوريا الشم... http://t.co/qyJZNfQlZN	اختراق كوريا الشمالية حسابات سوني
E05	Q0	551347276258766851	0	عقوبات أمريكية على كوريا الشمالية بسبب اختراق سوني http://t.co/yS4sE5QAP3 #تسويق #نهتم_للتسويق_الرقمي	اختراق كوريا الشمالية حسابات سوني
E05	Q0	551036087900971008	0	سوني تعرض تعويضات ضخمة لكل من عنده سوني شتتوقعون التعويض هيكون؟!^، http://t.co/YjDoggbveQ	اختراق كوريا الشمالية حسابات سوني
E05	Q0	550825028359430145	0	من يتحدى فيفا 15 سوني 3 إلي في راسه لعب يجيني ؟!	اختراق كوريا الشمالية حسابات سوني
E05	Q0	550947823705796608	0	@iRead_FUT من جدك طول تذاكر انت؟ العب سوني كم ساعه وارجع ذاكر 😴🌹	اختراق كوريا الشمالية حسابات سوني
E05	Q0	550329473653293056	0	@osmo2020 @55_7mooosh سوني 4 و 3	اختراق كوريا الشمالية حسابات سوني
E05	Q0	551073282561036288	0	@mesho84 @edengreed كله شقفة اندرويد سوني غالي	اختراق كوريا الشمالية حسابات سوني
E05	Q0	551269401953976320	0	اشتركو في قناتي انزل العب سوني 4 http://t.co/sKcfciAnLT	اختراق كوريا الشمالية حسابات سوني
E05	Q0	550312717802672130	0	البنت إذا لعبت سوني 1% لعب 99% تقولك خلني أفوز 🌚💔	اختراق كوريا الشمالية حسابات سوني
E05	Q0	550176293493305345	0	@coiins_fifa15 ابغا أشتري منك كوينز سوني 3 عندك ؟	اختراق كوريا الشمالية حسابات سوني
E05	Q0	550340323944067074	0	سوني اكسبيريا اكبر مقلب!!!	اختراق كوريا الشمالية حسابات سوني
E44	Q0	556414888638033920	1	اختطاف مدير مكتب الرئيس اليمني: خطف مسلحون السبت احمد عوض بن مبارك مدير مكتب الرئيس ... http://t.co/P7eVc4EMPf #kuwait #الكويت	خطف مدير مكتب الرئيس اليمني
E44	Q0	556507302505627648	1	وبعد إختطاف مدير مكتب الرئيس اليمني من قبل العصابات الحوثية ، نسأل هل في اليمن رجال لديهم كرامه ، ألهذه الدرجة اليمني يشترى بالمال الحرام.؟	خطف مدير مكتب الرئيس اليمني
E44	Q0	556450130367225858	1	#International خطف مدير مكتب الرئيس اليمني ولا إعلان للمسؤولية http://t.co/mntKkXmmpp #World #News	خطف مدير مكتب الرئيس اليمني
E44	Q0	556479267077627904	1	بيان إدانة ـــــــــــــــ تُدين حركة رفض الشبابية عملية إختطاف د. أحمد عوض بن مبارك مدير مكتب رئيس الجمهورية ،... http://t.co/bse1DZZWuF	خطف مدير مكتب الرئيس اليمني
E44	Q0	557269482805006336	1	انا يمني : تضارب الأنباء حول مصير مدير مكتب رئاسة الجمهورية http://t.co/qory94uzCG	خطف مدير مكتب الرئيس اليمني
E44	Q0	556451493520224257	1	"#اكرم_الجولحي الحوثيون يعلنون رسمياً اختطاف مدير مكتب هادي "" بن مبارك"": أعلن مسلحو جماعة الحوث... http://t.co/GvRAS0dihz @akramalgaolahi"	خطف مدير مكتب الرئيس اليمني
E44	Q0	556871849808654336	1	#الصوت | البحرين تدين بشدة اليوم عملية اختطاف مدير مكتب الرئيس اليمني احمد عوض بن مبارك في صنعاء امس على يد ميليشيات الحوثي.	خطف مدير مكتب الرئيس اليمني
E44	Q0	556399236627984384	1	مسلحون يخطفون أحمد بن مبارك مدير مكتب رئيس اليمن: مسلحون يخطفون أحمد بن مبارك، مدير مكتب الرئيس اليمني عند نقط... http://t.co/nwEayLu9JE	خطف مدير مكتب الرئيس اليمني
E44	Q0	556516549595766784	1	http://t.co/pEFHFzwiDF #اليمن #عدن_الحدث -الحركة الحوثية المسلحة تخطف أحمد بن مبارك مدير مكتب رئيس ا...	خطف مدير مكتب الرئيس اليمني
E44	Q0	556405217185382400	1	الحوثيون يخطفون مدير مكتب رئاسة الجمهورية اليمني وسط خلاف على الدستور: صنعاء (رويترز) - قالت مصادر في الشرطة ل... http://t.co/yjWKUUGlyU	خطف مدير مكتب الرئيس اليمني
E44	Q0	557119855409627136	0	#العربية شاهد حرب شوارع بين الحوثيين والجيش	خطف مدير مكتب الرئيس اليمني
E44	Q0	557149202283655169	0	ياسر الزعاترة: عن الحوثيين واليمن الضائع بين إيران والعرب http://t.co/sxLD1CrlnN	خطف مدير مكتب الرئيس اليمني
E44	Q0	557167645712453632	0	- #الحوثيين محاصرين القصر الرئاسي اليمني ومشتبكين مع الجيش اليمني حالا، الحوثيين هيسلموا مضيق #باب_المندب... http://t.co/h8rpSVODcV	خطف مدير مكتب الرئيس اليمني
E44	Q0	557047256403427328	0	استمرار الاشتباكات بين الجيش اليمني والمتمردين الحوثيين في محيط دار الرئاسة.	خطف مدير مكتب الرئيس اليمني
E44	Q0	557070085609627650	0	#متابعات #الحوثيين : وأكد المصدر ان الحوثيين أغلقوا المطار وأوقفوا حركة الملاحة الجوية... http://t.co/83Jt4tU16h #الحوثه #يكفي	خطف مدير مكتب الرئيس اليمني
E44	Q0	557208808494100480	0	وكالة إيرانية تعلن إلغاء الدستور وإشراك الحوثيين في الحكومة .. تعيين شخصيات في مناصب قيادية هامة #صنعاء #الحوثيين	خطف مدير مكتب الرئيس اليمني
E44	Q0	557043208455065600	0	اشتباكات مع الحوثيين قرب القصر الرئاسي http://t.co/UKAEAbCVtX عبر @skynewsarabia	خطف مدير مكتب الرئيس اليمني
E44	Q0	557100657212010496	0	وقف لإطلاق النار بين الحوثيين وحرس الرئاسة بصنعاء http://t.co/32FkuaS2GO #akhbar	خطف مدير مكتب الرئيس اليمني
E44	Q0	555803866717900801	0	وكالة إيرانية: توسع الحوثيين يتم بالتفاهم مع هادي- http://t.co/J9AOq5S4zh	خطف مدير مكتب الرئيس اليمني
E44	Q0	557141388945797120	0	@HalaLoCa علشان تروحي تجاهدي مع الحوثيين هناك 😂	خطف مدير مكتب الرئيس اليمني
E09	Q0	551744622083710977	1	بوكو حرام تسيطر على قاعدة عسكرية على ضفاف بحيرة تشاد في نيجيريا http://t.co/21WjzDrSIq	سيطرة بوكو حرام على قاعدة عسكرية في نيجيريا
E09	Q0	551928486265638913	1	بوكو حرام تسيطر على قاعدة عسكرية بشمال نيجيريا http://t.co/HOuFAzMhK9	سيطرة بوكو حرام على قاعدة عسكرية في نيجيريا
E09	Q0	551749904045850624	1	بوكو حرام تسيطر على قاعدة عسكرية على ضفاف بحيرة تشاد - LBC I http://t.co/469Srb6ILJ	سيطرة بوكو حرام على قاعدة عسكرية في نيجيريا
E09	Q0	551770527841259520	1	"""بوكو حرام"" تسيطر على قاعدة عسكرية شمال شرق نيجيريا: سيطرت حركة ""بوكو حرام"" الإسلامية الأحد 4 يناير/ كانون الث... http://t.co/HjR6jsQ6ul"	سيطرة بوكو حرام على قاعدة عسكرية في نيجيريا
E09	Q0	551749938493677568	1	بوكو حرام تسيطر على قاعدة عسكرية على ضفاف بحيرة تشاد. http://t.co/TOhysL1QsR | https://t.co/aqBzdxEqVQ	سيطرة بوكو حرام على قاعدة عسكرية في نيجيريا
E09	Q0	551810989709328384	1	بوكو حرام تسيطر على قاعدة عسكرية بشمال نيجيريا - بوكو حرام تسيطر على قاعدة عسكرية بشمال نيجيريا أفادت مصادر... http://t.co/Aj9YKO82h1	سيطرة بوكو حرام على قاعدة عسكرية في نيجيريا
E09	Q0	551758905588453376	1	#وال بوكو حرام تسيطر على قاعدة عسكرية على ضفاف بحيرة تشاد. #بوكو_حرام #قاعدة_عسك...	سيطرة بوكو حرام على قاعدة عسكرية في نيجيريا
E09	Q0	551748293760282625	1	"جماعة ""بوكو حرام"" تسيطر على قاعدة عسكرية على ضفاف بحيرة تشاد"	سيطرة بوكو حرام على قاعدة عسكرية في نيجيريا
E09	Q0	551816974909468672	1	'بوكو حرام' تسيطر على قاعدة للجيش في نيجيريا http://t.co/firpbYunoR #لجينيات	سيطرة بوكو حرام على قاعدة عسكرية في نيجيريا
E09	Q0	552144860887535617	1	"#أخبار #news ""بوكو حرام"" تسيطر على قاعدة للجيش في نيجيريا: http://t.co/KpTGTGiskm #DOCTOURMUS"	سيطرة بوكو حرام على قاعدة عسكرية في نيجيريا
E09	Q0	551251454141288448	0	الحياة - «بوكو حرام» تختطف 40 شاباً شمال شرقي نيجيريا اختطفوا 400 فتاة ليتزوجوا منهن ..ماشي لكن اختطفوا الشباب ليه؟؟ http://t.co/kPGLdWZcJ0	سيطرة بوكو حرام على قاعدة عسكرية في نيجيريا
E09	Q0	551393116151091201	0	«بوكو حرام »تخطف 40 شابا في شمال شرق نيجيريا - الرياض http://t.co/jrHKx9p8sc #اخبار_السعوديه	سيطرة بوكو حرام على قاعدة عسكرية في نيجيريا
E09	Q0	551463302916608000	0	"""بوكو حرام تختطف 40 صبياً وشاباً من قرية في نيجيريا"" good read http://t.co/3Uv5vStWUO"	سيطرة بوكو حرام على قاعدة عسكرية في نيجيريا
E09	Q0	551541863841144832	0	15 قتيلا في هجوم شنته 'بوكو حرام' على حافلة في #الكاميرون http://t.co/uP776rv5Vd	سيطرة بوكو حرام على قاعدة عسكرية في نيجيريا
E09	Q0	552176922558357504	0	#منتدى_التجديد بوكو حرام تخطف 40 شابا في شمال شرق نيجيريا http://t.co/BvArT4zLdk	سيطرة بوكو حرام على قاعدة عسكرية في نيجيريا
E09	Q0	550974931823894528	0	مقتل 7 على الأقل في هجوم على قاعدة عسكرية بالصومال.	سيطرة بوكو حرام على قاعدة عسكرية في نيجيريا
E09	Q0	551367609774776321	0	بوكو حرام تخطف 40 شابًا في شمال شرق نيجيريا http://t.co/hIcLBKA6pb خطف عناصر يشتبه في انتمائهم إلى جماعة بوكو حرام أربعين شابا وصبيًا...	سيطرة بوكو حرام على قاعدة عسكرية في نيجيريا
E09	Q0	551364557554614273	0	بوكو حرام تخطف 40 شابا في شمال شرق نيجيريا - ايلاف http://t.co/asDYrnWIou	سيطرة بوكو حرام على قاعدة عسكرية في نيجيريا
E09	Q0	551586721767653378	0	(( تنظم بوكو حرام يختطف 40 شابا في نيجريا )) ؟؟؟ لاياولد ألحرام ؟؟؟ http://t.co/rQFktoFygB	سيطرة بوكو حرام على قاعدة عسكرية في نيجيريا
E09	Q0	551318092580532224	0	العالم | آباء المخطوفات من قبل «بوكو حرام» يلجؤون للأمم المتحدة http://t.co/0yCyBqoRs9 http://t.co/gX91zqew5E	سيطرة بوكو حرام على قاعدة عسكرية في نيجيريا
E04	Q0	551643491046920193	1	#Qatar وفاة قيادي «القاعدة» أبو أنس الليبي في نيويورك قبل أيام من محاكمته: وفاة قيادي «القاعدة» أبو أنس ... http://t.co/jUzimgFk8G #Oman	وفاة أبو أنس الليبي في نيويورك
E04	Q0	551332386852466688	1	ابيببدزددزززيسسسسسسس وفاة أبي أنس الليبي قبل أيام من محاكمته بنيويورك - الجزيرة يسدددددددززدزززززززز	وفاة أبو أنس الليبي في نيويورك
E04	Q0	551647685761986560	1	#قطر وفاة قيادي «القاعدة» أبو أنس الليبي في نيويورك قبل أيام من محاكمته: وفاة قيادي «القاعدة» أب... http://t.co/LRq76rSG04 #العراق	وفاة أبو أنس الليبي في نيويورك
E04	Q0	551313416757850112	1	وفاة “أبو أنس الليبي” في نيويورك قبل أيام من محاكمته http://t.co/PHeFZ37w5L	وفاة أبو أنس الليبي في نيويورك
E04	Q0	551650020718436352	1	#القاهرة وفاة قيادي «القاعدة» أبو أنس الليبي في نيويورك قبل أيام من محاكمته: وفاة قيادي «القاعدة... http://t.co/LLhvWZJpyb #الرياض	وفاة أبو أنس الليبي في نيويورك
E04	Q0	551318926315900929	1	وفاة أبو أنس الليبي قبل أيام من محاكمته في نيويورك: محامو أبو أنس الليبي التي تتهمه واشنطن بالضلوع في تفجير سف... http://t.co/aw77IPmQSH	وفاة أبو أنس الليبي في نيويورك
E04	Q0	551652465548873728	1	#بورسعيد وفاة قيادي «القاعدة» أبو أنس الليبي في نيويورك قبل أيام من محاكمته: وفاة قيادي «القاعدة... http://t.co/r6VVE8BtRB #الصعيد	وفاة أبو أنس الليبي في نيويورك
E04	Q0	551256464975609856	1	"ليبيا تتحدث عاجل (حصري ليبيا تتحدث): وفاة القيادي في تنضيم القاعدة ""ابو أنس الليبي"" في السجون الامريكية . http://t.co/ih32FFxn6o"	وفاة أبو أنس الليبي في نيويورك
E04	Q0	551379353561362432	1	الحياة نيوز | وفاة أبو أنس الليبي القيادي بالقاعدة قبل محاكمته بأمريكا http://t.co/nPSDHPM4EW	وفاة أبو أنس الليبي في نيويورك
E04	Q0	551643649587425280	1	#عدن وفاة قيادي «القاعدة» أبو أنس الليبي في نيويورك قبل أيام من محاكمته: وفاة قيادي «القاعدة» أب... http://t.co/tY0xlacTFh #الدوحة	وفاة أبو أنس الليبي في نيويورك
E04	Q0	551373570140422144	0	"يوم الاحد الماضي الموافق 28-12-2014، اتصل بي ""احمد نزيه الرقيعي"" ابن ""نزيه الرقيعي"" -المعروف بـ ابوانس الليبي-... http://t.co/tktcUjiucj"	وفاة أبو أنس الليبي في نيويورك
E04	Q0	550774246448709632	0	عن أنس عن النبي صلى الله عليه وسلم قال لكل أمة أمين وأمين هذه الأمة أبو عبيدة بن الجراح #Hadith #ﷺ	وفاة أبو أنس الليبي في نيويورك
E04	Q0	550682448984420353	0	عن أنس عن النبي صلى الله عليه وسلم قال لكل أمة أمين وأمين هذه الأمة أبو عبيدة بن الجراح #Hadith #ﷺ	وفاة أبو أنس الليبي في نيويورك
E04	Q0	550036790602502144	0	عن أنس عن النبي صلى الله عليه وسلم قال لكل أمة أمين وأمين هذه الأمة أبو عبيدة بن الجراح #Hadith #ﷺ	وفاة أبو أنس الليبي في نيويورك
E04	Q0	551693444373299200	0	عن أنس عن النبي صلى الله عليه وسلم قال لكل أمة أمين وأمين هذه الأمة أبو عبيدة بن الجراح #Hadith #ﷺ	وفاة أبو أنس الليبي في نيويورك
E04	Q0	551767278383947776	0	عن أنس عن النبي صلى الله عليه وسلم قال لكل أمة أمين وأمين هذه الأمة أبو عبيدة بن الجراح #Hadith #ﷺ	وفاة أبو أنس الليبي في نيويورك
E04	Q0	550770399546335232	0	عن أنس عن النبي صلى الله عليه وسلم قال لكل أمة أمين وأمين هذه الأمة أبو عبيدة بن الجراح #Hadith #ﷺ	وفاة أبو أنس الليبي في نيويورك
E04	Q0	551698477357342721	0	عن أنس عن النبي صلى الله عليه وسلم قال لكل أمة أمين وأمين هذه الأمة أبو عبيدة بن الجراح #Hadith #ﷺ	وفاة أبو أنس الليبي في نيويورك
E04	Q0	551645813517352960	0	روى زياد عن مالك بن أنس رحمه الله قال: لما بعث أبو جعفر المنصور إلى مالك بن أنس وعبد الله بن طاوس قال: دخلنا عليه... http://t.co/MsR0Z3FFnP	وفاة أبو أنس الليبي في نيويورك
E04	Q0	550666801437110273	0	عن أنس عن النبي صلى الله عليه وسلم قال لكل أمة أمين وأمين هذه الأمة أبو عبيدة بن الجراح #Hadith #ﷺ	وفاة أبو أنس الليبي في نيويورك
E07	Q0	551245383590883330	1	🔶 رئيس الوزراء اليوناني السابق يعتزم تأسيس حزب جديد قبل ثلاثة اسابيع من الانتخابات http://t.co/7iT265keSy	باباندريو يؤسس حزب جديد
